"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"12393","2021",6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PAPA, fécula",8750,"BOLSAS","ALEMANIA"
"12394","2021",6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MOSTAZA, grano",39500,"BOLSAS","EEUU"
"12395","2021",6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano partido",149688,"SACO(S)","EEUU"
"12396","2021",6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARROZ, grano pilado",255000,"SACO(S)","BRASIL"
"12397","2021",6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","COCO, fibra (para sustrato)",66000,"PALETAS","SRI LANKA"
"12398","2021",6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano partido",159213,"SACO(S)","CANADA"
"12399","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",114000,"SACO(S)","BOLIVIA"
"12400","2021",6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ, semilla",41868,"BOLSAS","BOLIVIA"
"12401","2021",6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",556500,"SACO(S)","GUATEMALA"
"12402","2021",6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LAUREL, hoja seca al natural",6030,"SACO(S)","ESPAÑA"
"12403","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",142497,"SACO(S)","BOLIVIA"
"12404","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MAIZ AMARILLO DURO, grano",87000,"SACO(S)","BOLIVIA"
"12405","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",115430,"SACO(S)","BOLIVIA"
"12406","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",143500,"SACO(S)","BOLIVIA"
"12407","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",114000,"SACO(S)","BOLIVIA"
"12408","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",112000,"SACO(S)","BOLIVIA"
"12409","2021",6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PINO, madera aserrada con algún proceso de la CRF2",185231,"PAQUETES","CHILE"
"12410","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",84720,"GRANEL","BOLIVIA"
"12411","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",29000,"SACO(S)","BOLIVIA"
"12412","2021",6,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PAPA, fécula",87500,"SACO(S)","DINAMARCA"
"12413","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56000,"GRANEL","BOLIVIA"
"12414","2021",6,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56000,"GRANEL","BOLIVIA"
